source,target,type
86,9662,"link"
86,11481,"link"
86,12417,"link"
86,6760,"link"
86,7327,"link"
86,4796,"link"
86,4856,"link"
86,4858,"link"
86,4838,"link"
86,4839,"link"
86,13402,"link"
86,13398,"link"
86,7898,"link"
86,7911,"link"
86,9071,"link"
86,7922,"link"
86,6204,"link"
86,4617,"link"
86,4624,"link"
86,4621,"link"
87,6790,"link"
87,6228,"link"
87,6232,"link"
87,6233,"link"
87,6234,"link"
87,3052,"link"
87,3062,"link"
87,3263,"link"
87,2965,"link"
87,6236,"link"
87,14369,"link"
87,15876,"link"
87,15196,"link"
87,15193,"link"
87,15853,"link"
87,18076,"link"
87,15134,"link"
87,14847,"link"
87,15215,"link"
87,8619,"link"
87,7138,"link"
87,15175,"link"
87,17914,"link"
87,17790,"link"
87,17845,"link"
87,13643,"link"
87,11226,"link"
87,17807,"link"
87,14912,"link"
87,13642,"link"
87,15350,"link"
87,17826,"link"
87,18284,"link"
87,15244,"link"
87,13603,"link"
87,17712,"link"
87,13596,"link"
87,13588,"link"
87,13617,"link"
87,14876,"link"
87,13601,"link"
87,14884,"link"
87,15242,"link"
87,14410,"link"
87,17745,"link"
87,3160,"link"
87,2759,"link"
87,11445,"link"
87,9624,"link"
87,8653,"link"
87,14842,"link"
87,13611,"link"
87,14372,"link"
87,14398,"link"
87,6238,"link"
88,6790,"link"
88,6228,"link"
88,6233,"link"
88,6234,"link"
88,3052,"link"
88,3062,"link"
88,3252,"link"
88,6232,"link"
88,6236,"link"
88,15765,"link"
88,15727,"link"
88,15730,"link"
88,15732,"link"
88,17370,"link"
88,15206,"link"
88,15205,"link"
88,13978,"link"
88,13981,"link"
88,17375,"link"
88,16813,"link"
88,16765,"link"
88,6238,"link"
89,6790,"link"
89,6228,"link"
89,6232,"link"
89,6234,"link"
89,3052,"link"
89,3062,"link"
89,12729,"link"
89,6233,"link"
89,6236,"link"
89,16091,"link"
89,17499,"link"
89,17502,"link"
89,15060,"link"
89,15053,"link"
89,15020,"link"
89,15045,"link"
89,15021,"link"
89,15250,"link"
89,10310,"link"
89,18454,"link"
89,10521,"link"
89,8619,"link"
89,7138,"link"
89,17914,"link"
89,17790,"link"
89,17845,"link"
89,17826,"link"
89,18284,"link"
89,13603,"link"
89,13596,"link"
89,13617,"link"
89,14876,"link"
89,17745,"link"
89,17834,"link"
89,3160,"link"
89,2759,"link"
89,11445,"link"
89,9624,"link"
89,15196,"link"
89,15198,"link"
89,13643,"link"
89,14884,"link"
89,8653,"link"
89,14842,"link"
89,4616,"link"
89,18059,"link"
89,14608,"link"
89,17918,"link"
89,17640,"link"
89,16809,"link"
89,17380,"link"
89,17705,"link"
89,16766,"link"
89,16586,"link"
89,4342,"link"
89,2981,"link"
89,3241,"link"
89,13897,"link"
89,3098,"link"
89,3192,"link"
89,3093,"link"
89,17870,"link"
89,3209,"link"
89,17381,"link"
89,4264,"link"
89,12487,"link"
89,17798,"link"
89,17944,"link"
89,15186,"link"
89,15188,"link"
89,15165,"link"
89,15179,"link"
89,18147,"link"
89,18145,"link"
89,15684,"link"
89,18269,"link"
89,2768,"link"
89,16125,"link"
89,18199,"link"
89,15435,"link"
89,14385,"link"
89,14370,"link"
89,14802,"link"
89,15403,"link"
89,15412,"link"
89,15414,"link"
89,7867,"link"
89,3153,"link"
89,7554,"link"
89,10518,"link"
89,5244,"link"
89,11146,"link"
89,8270,"link"
89,5540,"link"
89,17479,"link"
89,17675,"link"
89,14197,"link"
89,15853,"link"
89,15876,"link"
89,15887,"link"
89,15880,"link"
89,16879,"link"
89,4621,"link"
89,14635,"link"
89,17805,"link"
89,7140,"link"
89,17793,"link"
89,9901,"link"
89,17960,"link"
89,17966,"link"
89,7327,"link"
89,17981,"link"
89,17955,"link"
89,17956,"link"
89,17963,"link"
89,17864,"link"
89,17954,"link"
89,16885,"link"
89,17883,"link"
89,17854,"link"
89,17768,"link"
89,15433,"link"
89,15473,"link"
89,16038,"link"
89,15686,"link"
89,18017,"link"
89,2919,"link"
89,17849,"link"
89,17782,"link"
89,17838,"link"
89,14194,"link"
89,15131,"link"
89,15136,"link"
89,17836,"link"
89,17823,"link"
89,15144,"link"
89,14190,"link"
89,15427,"link"
89,16874,"link"
89,15843,"link"
89,17809,"link"
89,17817,"link"
89,17843,"link"
89,15735,"link"
89,14355,"link"
89,17729,"link"
89,14347,"link"
89,17994,"link"
89,11481,"link"
89,18055,"link"
89,13621,"link"
89,17735,"link"
89,11763,"link"
89,8408,"link"
89,15244,"link"
89,11226,"link"
89,15175,"link"
89,17712,"link"
89,18026,"link"
89,4605,"link"
89,17750,"link"
89,18007,"link"
89,15191,"link"
89,15193,"link"
89,14200,"link"
89,14220,"link"
89,16890,"link"
89,16898,"link"
89,14629,"link"
89,15024,"link"
89,12859,"link"
89,18196,"link"
89,14411,"link"
89,14409,"link"
89,14790,"link"
89,15406,"link"
